Summary,Issue key,Component/s,Component/s,Component/s,Component/s,Description
When dfs.block.size is configured to 0 the block which is created in rbw is never deleted,HDFS-3356,namenode,,,,"dfs.block.size=0
step 1: start NN and DN
step 2: write a file ""a.txt""
The block is created in rbw and since the blocksize is 0 write fails and the file is not closed. DN sents in the block report , number of blocks as 1
Even after the DN has sent the block report and directory scan has been done , the block is not invalidated for ever.

But In earlier version when the block.size is configured to 0 default value will be taken and write will be successful.
NN logs:
========
{noformat}
2012-04-24 19:54:27,089 INFO org.apache.hadoop.hdfs.StateChange: BLOCK* processReport: from DatanodeRegistration(.18.40.117, storageID=DS-452047493-xx.xx.xx.xx-50076-1335277451277, infoPort=50075, ipcPort=50077, storageInfo=lv=-40;cid=CID-742fda5f-68f7-40a5-9d52-a2a15facc6af;nsid=797082741;c=0), blocks: 0, processing time: 0 msecs
2012-04-24 19:54:29,689 INFO org.apache.hadoop.hdfs.StateChange: BLOCK* NameSystem.allocateBlock: /1._COPYING_. BP-1612285678-xx.xx.xx.xx-1335277427136 blk_-262107679534121671_1002{blockUCState=UNDER_CONSTRUCTION, primaryNodeIndex=-1, replicas=[ReplicaUnderConstruction[xx.xx.xx.xx:50076|RBW]]}
2012-04-24 19:54:30,113 INFO org.apache.hadoop.hdfs.StateChange: BLOCK* processReport: from DatanodeRegistration(xx.xx.xx.xx, storageID=DS-452047493-xx.xx.xx.xx-50076-1335277451277, infoPort=50075, ipcPort=50077, storageInfo=lv=-40;cid=CID-742fda5f-68f7-40a5-9d52-a2a15facc6af;nsid=797082741;c=0), blocks: 1, processing time: 0 msecs{noformat}

Exception message while writing a file:
=======================================
{noformat}
./hdfs dfs -put hadoop /1
12/04/24 19:54:30 WARN hdfs.DFSClient: DataStreamer Exception
java.io.IOException: BlockSize 0 is smaller than data size.  Offset of packet in block 4745 Aborting file /1._COPYING_
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:467)
put: BlockSize 0 is smaller than data size.  Offset of packet in block 4745 Aborting file /1._COPYING_
12/04/24 19:54:30 ERROR hdfs.DFSClient: Failed to close file /1._COPYING_
java.io.IOException: BlockSize 0 is smaller than data size.  Offset of packet in block 4745 Aborting file /1._COPYING_
	at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:467){noformat}"
Implement a unix-like cat utility,HDFS-9272,hdfs-client,,,,"Implement the basic functionality of ""cat"" and have it build as a separate executable.

2 Reasons for this:
We don't have any real integration tests at the moment so something simple to verify that the library actually works against a real cluster is useful.

Eventually I'll make more utilities like stat, mkdir etc.  Once there are enough of them it will be simple to make a C++ implementation of the hadoop fs command line interface that doesn't take the latency hit of spinning up a JVM."
TestOfflineImageViewer.outputOfLSVisitor fails for certain usernames,HDFS-6540,,,,,"TestOfflineImageViewer.outputOfLSVisitor() fails if the username contains ""-"" (dash). A dash is a valid character in a username."
Non Authenticated Data node Allowed to Join HDFS,HDFS-8906,datanode,namenode,,,"An attacker with network access to a Hadoop cluster can create a spoof datanode that the namenode will accept into the cluster without authentication, allowing the attacker to run MapReduce jobs on the cluster in order to steal data.  The spoof datanode is created by adding the namenode RSA SSH public key to the known hosts directory, starting Hadoop services, setting the IP address to be the same as a legitimate node on the Hadoop cluster and sending the namenode a heartbeat message with an empty namespace ID.  This will cause the namenode to think that the spoof datanode is a node that had previously crashed and lost its data.  The namenode will then connect to the spoof datanode using its SSH credentials and start replicating data on the spoof datanode, incorporating the spoof datanode into the cluster.  Once incorporated, the spoof node can start issuing MapReduce jobs to retrieve cluster data."
DataNode should be marked as final to prevent subclassing,HDFS-190,,,,,"Reviewing the DataNode core, it starts a thread in its constructor calling back in to the Run() method. This is generally perceived as very dangerous, as if DataNode were ever subclassed, the subclass would start to be invoked in the run() method before its own constructor had finished working.

1. Consider splitting the constructor from the start() operation.
2. If this cannot be changed, mark DataNode as final so nobody can subclass it.  Though if the latter were done, it would be convenient to have a method to let external management components poll for the health of the node, and to pick up reasons for the node shutting down."
QUEUE_WITH_CORRUPT_BLOCKS is no longer needed,HDFS-9344,namenode,,,,"After the change of HDFS-9205, the {{QUEUE_WITH_CORRUPT_BLOCKS}} queue in {{UnderReplicatedBlocks}} is no longer needed."
Are there any official performance tests or reports using WebHDFS,HDFS-9212,webhdfs,,,,I'd like to know if there are any performance tests or reports when reading and writing files using WebHDFS rest api. Or any design-time numbers?
DataXceiver per accept seems to be a bottleneck in HBase/YCSB test,HDFS-2243,datanode,,,,"I am running the YCSB benchmark against HBase, sometimes against a single node, sometimes against a cluster of 6 systems. As the load increases into thousands of TPS, especially on the single node, I can see that the datanode runs very high system time and seems to be bottlenecked by how fast it can create the threads to handle the new connections in DataXceiverServer.run. By ""perf top"" I can see the process spends about 12% of all its time in pthread_create, and in hprof profiles I can see there are tens of thousands of threads created in just a few minutes of test execution.

Does anyone else observe this bottleneck? Is there a major challenge to using a thread pool of DataXceivers in this situation?
"
need log out an extra info in DFSOutputstream,HDFS-4770,hdfs-client,,,,need log out an extra info in DFSOutputstream
UserGroupInformation.loginUserFromKeytab will hang forever if keytab file length  is less than 6 byte.,HDFS-6674,security,,,,"The jstack is as follows:
   java.lang.Thread.State: RUNNABLE
	at java.io.FileInputStream.available(Native Method)
	at java.io.BufferedInputStream.available(BufferedInputStream.java:399)
	- locked <0x0000000745585330> (a sun.security.krb5.internal.ktab.KeyTabInputStream)
	at sun.security.krb5.internal.ktab.KeyTab.load(KeyTab.java:257)
	at sun.security.krb5.internal.ktab.KeyTab.<init>(KeyTab.java:97)
	at sun.security.krb5.internal.ktab.KeyTab.getInstance0(KeyTab.java:124)
	- locked <0x0000000745586560> (a java.lang.Class for sun.security.krb5.internal.ktab.KeyTab)
	at sun.security.krb5.internal.ktab.KeyTab.getInstance(KeyTab.java:157)
	at javax.security.auth.kerberos.KeyTab.takeSnapshot(KeyTab.java:119)
	at javax.security.auth.kerberos.KeyTab.getEncryptionKeys(KeyTab.java:192)
	at javax.security.auth.kerberos.JavaxSecurityAuthKerberosAccessImpl.keyTabGetEncryptionKeys(JavaxSecurityAuthKerberosAccessImpl.java:36)
	at sun.security.jgss.krb5.Krb5Util.keysFromJavaxKeyTab(Krb5Util.java:381)
	at com.sun.security.auth.module.Krb5LoginModule.attemptAuthentication(Krb5LoginModule.java:701)
	at com.sun.security.auth.module.Krb5LoginModule.login(Krb5LoginModule.java:584)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at javax.security.auth.login.LoginContext.invoke(LoginContext.java:784)
	at javax.security.auth.login.LoginContext.access$000(LoginContext.java:203)
	at javax.security.auth.login.LoginContext$5.run(LoginContext.java:721)
	at javax.security.auth.login.LoginContext$5.run(LoginContext.java:719)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.login.LoginContext.invokeCreatorPriv(LoginContext.java:718)
	at javax.security.auth.login.LoginContext.login(LoginContext.java:590)
	at org.apache.hadoop.security.UserGroupInformation.loginUserFromKeytab(UserGroupInformation.java:679)"
"HDFS mover stuck in loop trying to move corrupt block with no other valid replicas, doesn't move rest of other data blocks",HDFS-8341,balancer & mover,,,,"HDFS mover gets stuck looping on a block that fails to move and doesn't migrate the rest of the blocks.

This is preventing recovery of data from a decomissioning external storage tier used for archive (we've had problems with that proprietary ""hyperscale"" storage product which is why a couple blocks here and there have checksum problems or premature eof as shown below), but this should not prevent moving all the other blocks to recover our data:
{code}hdfs mover -p /apps/hive/warehouse/<custom_scrubbed>
15/05/07 14:52:50 INFO mover.Mover: namenodes = {hdfs://nameservice1=[/apps/hive/warehouse/<custom_scrubbed>]}
15/05/07 14:52:51 INFO balancer.KeyManager: Block token params received from NN: update interval=10hrs, 0sec, token lifetime=10hrs, 0sec
15/05/07 14:52:51 INFO block.BlockTokenSecretManager: Setting block keys
15/05/07 14:52:51 INFO balancer.KeyManager: Update block keys every 2hrs, 30mins, 0sec
15/05/07 14:52:52 INFO block.BlockTokenSecretManager: Setting block keys
15/05/07 14:52:52 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:52:52 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:52:52 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:52:52 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:52:52 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:52:52 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:52:52 WARN balancer.Dispatcher: Failed to move blk_1075156654_1438349 with size=134217728 from <ip>:1019:ARCHIVE to <ip>:1019:DISK through <ip>:1019: block move is failed: opReplaceBlock BP-120244285-<ip>-1417023863606:blk_1075156654_1438349 received exception java.io.EOFException: Premature EOF: no length prefix available
<NOW IT STARTS LOOPING ON SAME BLOCK>
15/05/07 14:53:31 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:53:31 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:53:31 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:53:31 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:53:31 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:53:31 INFO net.NetworkTopology: Adding a new node: /default-rack/<ip>:1019
15/05/07 14:53:31 WARN balancer.Dispatcher: Failed to move blk_1075156654_1438349 with size=134217728 from <ip>:1019:ARCHIVE to <ip>:1019:DISK through <ip>:1019: block move is failed: opReplaceBlock BP-120244285-<ip>-1417023863606:blk_1075156654_1438349 received exception java.io.EOFException: Premature EOF: no length prefix available
...<repeat indefinitely>...
{code}"
The dncp_block_verification log can be compressed,HDFS-4224,datanode,,,,"On some systems, I noticed that when the scanner runs, the dncp_block_verification.log.curr file under the block pool gets quite large (several GBs). Although this is rolled away, we could also configure compression upon it (a codec that may work without natives, would be a good default) and save on I/O and space."
Race condition on yieldCount in FSDirectory.java,HDFS-9054,namenode,,,,"getContentSummaryInt only held read lock, and it called fsd.addYieldCount which may cause race condition:
{code}
  private static ContentSummary getContentSummaryInt(FSDirectory fsd,
      INodesInPath iip) throws IOException {
    fsd.readLock();
    try {
      INode targetNode = iip.getLastINode();
      if (targetNode == null) {
        throw new FileNotFoundException(""File does not exist: "" + iip.getPath());
      }
      else {
        // Make it relinquish locks everytime contentCountLimit entries are
        // processed. 0 means disabled. I.e. blocking for the entire duration.
        ContentSummaryComputationContext cscc =
            new ContentSummaryComputationContext(fsd, fsd.getFSNamesystem(),
                fsd.getContentCountLimit(), fsd.getContentSleepMicroSec());
        ContentSummary cs = targetNode.computeAndConvertContentSummary(cscc);
        fsd.addYieldCount(cscc.getYieldCount());
        return cs;
      }
    } finally {
      fsd.readUnlock();
    }
  }
{code}"
Small improvement for DatanodeManager#sortLocatedBlocks,HDFS-9032,,,,,"-This is a minor improvement: In sortLocatedBlocks, (in most cases) if locations of located block don't contain decommissioned/stale datanode, no need to call Arrays.sort. Also we can make the comparator as the class variable.-"
File is not closed in OfflineImageViewerPB#run(),HDFS-6290,tools,,,,"{code}
      } else if (processor.equals(""XML"")) {
        new PBImageXmlWriter(conf, out).visit(new RandomAccessFile(inputFile,
            ""r""));
{code}
The RandomAccessFile instance should be closed before the method returns."
Remove unnecessary log from method FSNamesystem.getCorruptFiles,HDFS-8861,namenode,,,,"The log in FSNamesystem.getCorruptFiles will print out too many messages mixed with other log entries, which makes whole log quite verbose, hard to understood and analyzed, especially in those cases where SuperuserPrivilege check and Operation check are not satisfied in frequent calls of listCorruptFileBlocks."
TestDatanodeBlockScanner#testBlockCorruptionRecoveryPolicy2 times out   ,HDFS-3660,,,,,Saw this on a recent jenkins run.
rename favoriteAndExcludedNodes to excludedNodes for clarity,HDFS-7973,,,,,"two reasons:
1. name {{favoriteAndExcludedNodes}} is easily confusing.
2. {{DatanodeStorageInfo[] chooseTarget(..)}} should like {{private Node chooseTarget(..)}} use name {{oldExcludedNodes}} to backup {{excludedNodes}}. We should keep the consistency."
favoredNodes should accept ip addr,HDFS-8700,,,,,"NameNode accepts two forms of FavoredNodes, {{ip:port}} and {{host:port}}

DFSClient#create(..) only uses {{host:port}}, if favoredNodes is created by 
{code}
new InetSocketAddress(ip, port)
{code}
DFSClient will attempt a reverse lookup locally to get {{host:port}}, instead of sending {{ip:port}} directly to NameNode.

It's not a problem in production. But it's a problem in MiniDFSCluster.
MiniDFSCluster use fake hostname ""host1.foo.com"" to start DataNodes.
DFSClient doesn't use StaticMapping. So if DFSClient do reverse lookup, ""127.0.0.1:50470"" becomes ""localhost:50470""."
Links resolving either from active/standby should be same (example clicking on datanodes from Standby),HDFS-5319,,,,,"click live nodes from standby namenode will throw exception ""Operation category READ is not supported in state standby"""
Some hdfs admin operations from client should have audit logs ,HDFS-8504,hdfs-client,,,,"Below  ""hdfs  dfsadmin xxx"" commands should have audit logs printed, because of those operations are helpful for administrator to check what  happened to hdfs service.
*hdfs dfsadmin commands*
{noformat}
hdfs dfsadmin -safemode enter
hdfs dfsadmin -safemode leave
hdfs dfsadmin -rollEdits
hdfs dfsadmin -refreshNodes
hdfs dfsadmin -refreshServiceAcl
hdfs dfsadmin -refreshUserToGroupsMappings
hdfs dfsadmin -refreshSuperUserGroupsConfiguration
hdfs dfsadmin -refreshCallQueue
hdfs dfsadmin -shutdownDatanode
{noformat}"
